"STATION","NAME","DATE","TAVG"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1948","24.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1949","24.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1951","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1952","24.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1953","24.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1954","24.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1955","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1956","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1957","24.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1958","23.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1959","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1960","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1961","24.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1962","23.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1963","23.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1964","24.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1965","24.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1966","23.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1967","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1968","23.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1969","24.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1970","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1971","24.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1972","24.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1973","24.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1974","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1975","25.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1976","24.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1977","24.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1978","24.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1979","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1980","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1981","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1982","25.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1983","24.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1984","23.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1985","24.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1986","24.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1987","24.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1988","24.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1989","25.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1990","25.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1991","25.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992","25.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993","25.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1994","25.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1995","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1996","24.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1997","25.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1998","25.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1999","24.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2000","24.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2001","24.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2002","25.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2003","25.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2004","24.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2005","24.8"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2006","25.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2007","25.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2008","25.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2009","25.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010","24.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2011","25.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2012","25.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2013","25.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2014","25.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2015","26.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2016","25.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2017","26.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2018","25.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2019","26.2"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2020","26.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2021","25.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2022","26.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2023",
